Leçon de danse,Description unavailable,https://www.imdb.com/title/tt0000161/,"['Short', 'Comedy']",3.9,Unknown
Les chutes,Description unavailable,https://www.imdb.com/title/tt0000162/,"['Documentary', 'Short']",5.3,Unknown
Le planton du colonel,Description unavailable,https://www.imdb.com/title/tt0000163/,"['Short', 'Comedy']",4.6,Unknown
Le pêcheur dans le torrent,Description unavailable,https://www.imdb.com/title/tt0000164/,"['Short', 'Comedy']",5.0,2009-09-01
Riña en un café,"Riña en un café is a short starring José Amigo, Antonio Fino, and Fructuós Gelabert. Reconstructed by the director in 1952 from a 1897 version, this short film shows Gelabert sitting down at a bar terrace, playing with a walking...",https://www.imdb.com/title/tt0000165/,Short,5.0,Unknown
Salida de los trabajadores de la fábrica España Industrial,Description unavailable,https://www.imdb.com/title/tt0000166/,"['Documentary', 'Short']",3.8,Unknown
Salida de misa de doce del Pilar de Zaragoza,Description unavailable,https://www.imdb.com/title/tt0000167/,"['Documentary', 'Short']",4.1,Unknown
Salida del público de la iglesia parroquial de Santa María de Sans,Description unavailable,https://www.imdb.com/title/tt0000168/,"['Documentary', 'Short']",3.4,Unknown
Slagsmål i gamla Stockholm,Description unavailable,https://www.imdb.com/title/tt0000169/,Short,3.9,1897-07-03
The Twins' Tea Party,Description unavailable,https://www.imdb.com/title/tt0000170/,"['Comedy', 'Short']",5.3,Unknown
Une nuit agitée,Description unavailable,https://www.imdb.com/title/tt0000171/,"['Short', 'Comedy']",4.4,Unknown
The X-Ray Fiend,"The X-Ray Fiend is a short starring Laura Bayley and Tom Green. A man and woman are flirting when a professor turns on an X-ray machine, revealing their insides. After turning it off again the two have a dispute and break up.",https://www.imdb.com/title/tt0000172/,"['Short', 'Comedy', 'Horror']",6.1,Unknown
Battle of Santiago Bay,Description unavailable,https://www.imdb.com/title/tt0000173/,"['Short', 'War']",4.7,Unknown
Výstavní párkar a lepic plakátù,Description unavailable,https://www.imdb.com/title/tt0000174/,"['Short', 'Comedy']",4.7,1898-07-01
A Sea Cave Near Lisbon,Description unavailable,https://www.imdb.com/title/tt0000175/,"['Documentary', 'Short']",5.0,1896-10-29
Brittania,Description unavailable,https://www.imdb.com/title/tt0000176/,Short,5.0,Unknown
The Burglar on the Roof,"The Burglar on the Roof is a short starring J. Stuart Blackton. There is a burglar on the rooftop of a Manhattan office building, and he is trying to break in. Two women spot him, and one of them begins beating him with a broom as...",https://www.imdb.com/title/tt0000177/,"['Short', 'Crime']",4.6,Unknown
The Cavalier's Dream,Description unavailable,https://www.imdb.com/title/tt0000178/,"['Short', 'Horror']",5.2,Unknown
La caverne maudite,Description unavailable,https://www.imdb.com/title/tt0000179/,"['Short', 'Horror']",4.5,Unknown
Le chemin de croix,Description unavailable,https://www.imdb.com/title/tt0000180/,Short,No Rating,Unknown
Cinderella,Description unavailable,https://www.imdb.com/title/tt0000181/,"['Short', 'Fantasy']",6.7,Unknown
"Come Along, Do!",Description unavailable,https://www.imdb.com/title/tt0000182/,"['Short', 'Comedy']",4.9,Unknown
The Corsican Brothers,Description unavailable,https://www.imdb.com/title/tt0000183/,"['Short', 'Drama']",6.1,Unknown
Cripple Creek Bar-Room Scene,Description unavailable,https://www.imdb.com/title/tt0000184/,"['Western', 'Short']",4.8,Unknown
La crèche à Bethléem,Description unavailable,https://www.imdb.com/title/tt0000185/,Short,No Rating,Unknown
Le cuirassé Maine,Description unavailable,https://www.imdb.com/title/tt0000186/,"['Short', 'War']",4.2,Unknown
La cène,Description unavailable,https://www.imdb.com/title/tt0000187/,Short,5.2,Unknown
The Deserter,Description unavailable,https://www.imdb.com/title/tt0000188/,"['Short', 'Drama']",4.0,Unknown
Dorotea,Description unavailable,https://www.imdb.com/title/tt0000189/,Short,No Rating,Unknown
